"Season","Date","Team","Conference","Opponent","Result","S","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2021-2022","08/27/2021","Boston College","ACC","Sacred Heart","W 3-0",3,39,18,105,0.2,35,2,6,45,NA,2,8,1,47,NA
"2021-2022","08/28/2021","Boston College","ACC","Hartford","W 3-1",4,51,18,127,0.26,50,3,8,63,4,6,24,NA,72,2
"2021-2022","08/28/2021","Boston College","ACC","Northeastern","W 3-2",5,69,21,173,0.277,64,3,9,73,1,1,14,1,80,NA
"2021-2022","09/03/2021","Boston College","ACC","Holy Cross @Smithfield, RI","W 3-0",3,38,10,90,0.311,31,7,6,43,3,5,8,NA,54,3
"2021-2022","09/04/2021","Boston College","ACC","Brown @Smithfield, RI","W 3-1",4,60,18,124,0.339,52,6,11,48,8,6,6,1,75,3
"2021-2022","09/04/2021","Boston College","ACC","@ Bryant","W 3-1",4,58,18,145,0.276,54,4,4,70,2,4,4,1,68,2
"2021-2022","09/07/2021","Boston College","ACC","@ Northeastern","W 3-1",4,53,20,144,0.229,50,3,4,62,1,1,20,3,67,2
"2021-2022","09/10/2021","Boston College","ACC","Army West Point @Queens, NY","W 3-1",4,57,16,137,0.299,51,4,5,71,4,2,8,2,67,1
"2021-2022","09/10/2021","Boston College","ACC","@ St. John's (NY)","L 2-3",5,60,21,157,0.248,55,8,5,57,8,2,14,4,77,NA
"2021-2022","09/11/2021","Boston College","ACC","Fordham @Queens, NY","W 3-1",4,68,20,166,0.289,66,12,8,60,4,2,16,2,90,2
"2021-2022","09/12/2021","Boston College","ACC","@ Rhode Island","W 3-0",3,43,13,93,0.323,41,6,5,47,4,3,10,2,57,1
"2021-2022","09/17/2021","Boston College","ACC","Dayton @Ann Arbor, Mich.","L 1-3",4,42,20,118,0.186,35,1,1,47,7,3,18,1,55,NA
"2021-2022","09/17/2021","Boston College","ACC","@ Michigan","L 0-3",3,30,22,109,0.073,28,2,3,40,4,NA,6,NA,35,NA
"2021-2022","09/18/2021","Boston College","ACC","@ Eastern Mich.","L 0-3",3,42,18,106,0.226,41,6,7,48,2,NA,8,1,52,1
"2021-2022","09/22/2021","Boston College","ACC","Syracuse","W 3-1",4,54,18,129,0.279,47,7,5,47,2,2,8,NA,67,1
"2021-2022","09/24/2021","Boston College","ACC","@ Duke","L 0-3",3,27,24,104,0.029,23,3,6,44,7,NA,6,1,33,2
"2021-2022","10/01/2021","Boston College","ACC","Virginia Tech","W 3-2",5,56,36,171,0.117,51,5,4,78,6,1,16,NA,70,1
"2021-2022","10/03/2021","Boston College","ACC","Wake Forest","L 2-3",5,71,25,148,0.311,69,5,8,48,9,2,20,1,88,2
"2021-2022","10/08/2021","Boston College","ACC","@ Louisville","L 0-3",3,19,18,74,0.014,17,NA,6,16,9,NA,4,1,21,1
"2021-2022","10/10/2021","Boston College","ACC","@ Notre Dame","L 0-3",3,38,23,108,0.139,38,4,4,45,2,NA,8,NA,46,3
"2021-2022","10/15/2021","Boston College","ACC","North Carolina","L 0-3",3,25,20,105,0.048,25,2,6,43,4,1,2,NA,29,1
"2021-2022","10/17/2021","Boston College","ACC","NC State","L 1-3",4,37,25,117,0.103,36,3,4,39,3,4,14,1,51,NA
"2021-2022","10/22/2021","Boston College","ACC","Clemson","W 3-1",4,56,16,146,0.274,52,13,6,70,6,1,10,1,75,1
"2021-2022","10/24/2021","Boston College","ACC","Georgia Tech","L 0-3",3,34,11,97,0.237,33,2,6,31,5,4,6,NA,43,1
"2021-2022","10/29/2021","Boston College","ACC","@ Florida St.","L 0-3",3,34,21,111,0.117,31,4,5,38,6,1,6,3,42,1
"2021-2022","10/31/2021","Boston College","ACC","@ Miami (FL)","L 0-3",3,36,21,112,0.134,31,3,4,42,6,3,NA,1,42,NA
"2021-2022","11/05/2021","Boston College","ACC","@ Virginia","W 3-1",4,63,28,169,0.207,53,7,7,61,2,1,8,NA,75,1
"2021-2022","11/07/2021","Boston College","ACC","@ Pittsburgh","L 0-3",3,31,17,97,0.144,27,6,7,31,4,1,8,3,42,NA
"2021-2022","11/13/2021","Boston College","ACC","Duke","W 3-1",4,51,17,117,0.291,47,10,10,43,3,4,14,NA,72,1
"2021-2022","11/19/2021","Boston College","ACC","@ Virginia Tech","L 1-3",4,58,34,140,0.171,57,6,7,60,7,3,8,NA,71,3
"2021-2022","11/21/2021","Boston College","ACC","@ Wake Forest","L 0-3",3,21,23,107,-0.019,18,3,6,34,1,6,18,1,39,NA
"2021-2022","11/26/2021","Boston College","ACC","Virginia","W 3-2",5,47,34,143,0.091,41,7,7,61,5,7,22,NA,72,NA
"2021-2022","12/04/2021","Boston College","ACC","Delaware St. 2021 National Volleyball Invitational Championship","W 3-0",3,46,17,99,0.293,42,10,7,43,3,2,10,NA,63,2
"2021-2022","12/05/2021","Boston College","ACC","UConn 2021 National Volleyball Invitational Championship","L 2-3",5,65,27,177,0.215,63,8,8,85,5,NA,12,NA,79,2
"2021-2022","08/28/2021","Clemson","ACC","Samford","W 3-0",3,37,11,95,0.274,35,9,10,37,2,NA,12,NA,52,NA
"2021-2022","08/28/2021","Clemson","ACC","N.C. A&T","W 3-1",4,63,21,156,0.269,58,1,12,63,2,1,10,1,70,1
"2021-2022","09/02/2021","Clemson","ACC","UCF @Columbia, SC","L 1-3",4,42,17,116,0.216,39,1,9,42,10,6,6,2,52,NA
"2021-2022","09/03/2021","Clemson","ACC","@ South Carolina","L 0-3",3,26,15,74,0.149,23,2,14,22,6,2,8,2,34,NA
"2021-2022","09/05/2021","Clemson","ACC","Gardner-Webb","W 3-0",3,49,10,104,0.375,43,7,11,45,3,1,10,4,62,NA
"2021-2022","09/10/2021","Clemson","ACC","@ Kennesaw St.","W 3-1",4,43,18,141,0.177,42,2,18,58,7,1,12,NA,52,NA
"2021-2022","09/11/2021","Clemson","ACC","Santa Clara @Kennesaw, GA","L 1-3",4,42,20,131,0.168,36,5,6,64,10,5,16,NA,60,NA
"2021-2022","09/15/2021","Clemson","ACC","Georgia St.","W 3-0",3,49,15,111,0.306,42,6,5,40,6,NA,8,1,59,1
"2021-2022","09/17/2021","Clemson","ACC","UNC Asheville","W 3-0",3,50,10,101,0.396,46,8,7,47,2,2,6,1,63,NA
"2021-2022","09/17/2021","Clemson","ACC","Rutgers","W 3-0",3,45,11,104,0.327,44,9,7,47,3,3,8,NA,61,2
"2021-2022","09/18/2021","Clemson","ACC","ETSU","W 3-1",4,52,19,144,0.229,46,7,15,64,3,NA,10,2,64,NA
"2021-2022","09/24/2021","Clemson","ACC","@ Virginia Tech","W 3-0",3,50,19,109,0.284,40,5,9,42,3,3,6,NA,61,NA
"2021-2022","09/26/2021","Clemson","ACC","@ Wake Forest","W 3-2",5,68,17,149,0.342,55,4,10,44,9,7,NA,1,79,NA
"2021-2022","10/01/2021","Clemson","ACC","Louisville","L 0-3",3,27,17,95,0.105,25,1,2,30,8,NA,4,2,30,2
"2021-2022","10/03/2021","Clemson","ACC","Notre Dame","L 0-3",3,42,16,136,0.191,38,5,7,57,9,2,8,NA,53,2
"2021-2022","10/08/2021","Clemson","ACC","@ Pittsburgh","L 0-3",3,37,19,95,0.189,32,1,5,31,6,NA,6,2,41,1
"2021-2022","10/10/2021","Clemson","ACC","@ Virginia","W 3-2",5,58,33,173,0.145,51,1,11,89,4,2,18,2,70,NA
"2021-2022","10/13/2021","Clemson","ACC","Georgia Tech","L 0-3",3,34,11,95,0.242,34,5,7,34,6,2,4,2,43,NA
"2021-2022","10/15/2021","Clemson","ACC","Duke","L 0-3",3,27,18,95,0.095,26,4,8,41,10,2,4,2,35,NA
"2021-2022","10/22/2021","Clemson","ACC","@ Boston College","L 1-3",4,52,16,153,0.235,48,6,4,69,NA,2,12,2,66,1
"2021-2022","10/24/2021","Clemson","ACC","@ Syracuse","L 0-3",3,40,22,107,0.168,37,NA,8,30,2,NA,8,NA,44,3
"2021-2022","10/29/2021","Clemson","ACC","NC State","L 1-3",4,48,20,126,0.222,47,2,15,48,4,2,14,1,59,NA
"2021-2022","10/31/2021","Clemson","ACC","North Carolina","L 2-3",5,65,22,158,0.272,59,5,9,51,9,2,24,1,84,NA
"2021-2022","11/05/2021","Clemson","ACC","Florida St.","L 1-3",4,53,22,152,0.204,50,4,12,55,1,2,6,1,62,NA
"2021-2022","11/07/2021","Clemson","ACC","Miami (FL)","L 0-3",3,27,22,94,0.053,26,NA,5,32,7,2,4,NA,31,NA
"2021-2022","11/10/2021","Clemson","ACC","Southern Miss.","W 3-1",4,56,21,151,0.232,47,10,9,67,6,3,18,NA,78,NA
"2021-2022","11/13/2021","Clemson","ACC","@ Miami (FL)","L 1-3",4,53,20,158,0.209,47,4,7,65,3,2,10,1,64,1
