"Season","Date","Team","Conference","Opponent","Result","S","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RetAtt","RErr","Block Solos","Block Assists","BErr","TB","PTS","BHE"
"2022-2023","08/26/2022","Boston College","ACC","Siena @Binghamton, NY","W 3-0",3,41,8,80,0.413,39,8,6,37,44,4,1,16,NA,9,58,2
"2022-2023","08/27/2022","Boston College","ACC","@ Binghamton","W 3-0",3,47,18,101,0.287,45,4,2,55,49,4,NA,12,NA,6,57,3
"2022-2023","08/27/2022","Boston College","ACC","UMES @Binghamton, NY","W 3-1",4,55,20,132,0.265,53,8,8,60,67,5,2,18,1,11,74,2
"2022-2023","09/02/2022","Boston College","ACC","Montana St. @Smithfield, RI","W 3-0",3,44,16,106,0.264,41,2,9,54,57,4,2,8,NA,6,52,NA
"2022-2023","09/03/2022","Boston College","ACC","Harvard @Smithfield, RI","W 3-0",3,40,14,96,0.271,36,6,11,49,56,1,2,18,NA,11,57,NA
"2022-2023","09/03/2022","Boston College","ACC","@ Bryant","W 3-1",4,55,26,134,0.216,53,7,10,55,83,2,3,18,1,12,74,NA
"2022-2023","09/07/2022","Boston College","ACC","Hartford","W 3-0",3,43,15,94,0.298,38,7,7,40,46,3,NA,10,1,5,55,2
"2022-2023","09/09/2022","Boston College","ACC","LIU @South Kingstown, RI","W 3-2",5,70,24,165,0.279,67,4,15,59,97,3,6,18,2,15,89,1
"2022-2023","09/10/2022","Boston College","ACC","Marist @South Kingstown, RI","W 3-0",3,44,7,80,0.463,42,7,8,24,41,2,2,14,2,9,60,NA
"2022-2023","09/10/2022","Boston College","ACC","@ Rhode Island","W 3-0",3,47,24,99,0.232,43,9,9,35,54,NA,NA,10,1,5,61,NA
"2022-2023","09/16/2022","Boston College","ACC","Middle Tenn. @Queens, NY","L 1-3",4,45,29,139,0.115,42,8,5,53,83,8,NA,18,NA,9,62,NA
"2022-2023","09/16/2022","Boston College","ACC","@ St. John's (NY)","L 2-3",5,62,27,151,0.232,61,5,12,47,106,9,2,14,NA,9,76,2
"2022-2023","09/17/2022","Boston College","ACC","Columbia @Queens, NY","W 3-0",3,51,11,84,0.476,51,10,3,41,50,5,1,10,5,6,67,1
"2022-2023","09/21/2022","Boston College","ACC","@ Syracuse","L 2-3",5,54,26,132,0.212,52,9,8,53,89,5,5,16,NA,13,76,2
"2022-2023","09/25/2022","Boston College","ACC","Duke","W 3-2",5,64,22,153,0.275,56,7,7,75,84,7,2,20,NA,12,83,3
"2022-2023","09/28/2022","Boston College","ACC","Bryant","W 3-2",5,54,26,155,0.181,52,5,3,71,78,6,2,22,NA,13,72,2
"2022-2023","09/30/2022","Boston College","ACC","@ Virginia Tech","L 0-3",3,35,26,106,0.085,34,1,5,33,71,2,NA,4,NA,2,38,NA
"2022-2023","10/02/2022","Boston College","ACC","@ Wake Forest","L 1-3",4,50,26,131,0.183,47,6,5,46,91,7,5,14,NA,12,68,NA
"2022-2023","10/07/2022","Boston College","ACC","Louisville","L 0-3",3,33,23,101,0.099,33,2,6,31,68,1,NA,6,NA,3,38,1
"2022-2023","10/09/2022","Boston College","ACC","Notre Dame","L 1-3",4,60,34,163,0.16,58,6,7,68,84,3,2,10,NA,7,73,2
"2022-2023","10/14/2022","Boston College","ACC","@ North Carolina","L 0-3",3,34,18,105,0.152,30,2,5,37,69,6,2,4,NA,4,40,NA
"2022-2023","10/16/2022","Boston College","ACC","@ NC State","W 3-2",5,52,23,168,0.173,47,5,14,78,94,5,3,20,NA,13,70,1
"2022-2023","10/21/2022","Boston College","ACC","@ Georgia Tech","L 0-3",3,22,22,94,NA,18,4,5,29,69,10,1,16,2,9,35,NA
"2022-2023","10/23/2022","Boston College","ACC","@ Clemson","L 1-3",4,53,18,127,0.276,51,9,8,46,90,8,3,14,3,10,72,1
"2022-2023","10/28/2022","Boston College","ACC","Miami (FL)","W 3-1",4,52,24,139,0.201,50,8,10,59,76,1,4,14,NA,11,71,NA
"2022-2023","10/30/2022","Boston College","ACC","Florida St.","W 3-1",4,63,23,158,0.253,57,11,8,64,78,4,3,6,NA,6,80,NA
"2022-2023","11/04/2022","Boston College","ACC","Virginia","W 3-2",5,58,17,132,0.311,55,10,15,39,93,8,2,18,2,11,79,2
"2022-2023","11/06/2022","Boston College","ACC","Pittsburgh","L 1-3",4,41,25,130,0.123,40,8,6,39,89,7,1,28,3,15,64,1
"2022-2023","11/11/2022","Boston College","ACC","@ Duke","L 2-3",5,50,25,164,0.152,44,4,6,67,99,8,2,14,NA,9,63,1
"2022-2023","11/13/2022","Boston College","ACC","Syracuse","W 3-0",3,43,11,89,0.36,40,8,6,29,52,6,NA,12,NA,6,57,2
"2022-2023","11/19/2022","Boston College","ACC","Virginia Tech","W 3-2",5,62,22,156,0.256,60,10,7,74,80,9,1,12,1,7,79,2
"2022-2023","11/26/2022","Boston College","ACC","@ Pittsburgh","L 0-3",3,32,21,92,0.12,31,1,4,29,73,11,1,8,5,5,38,NA
"2022-2023","12/02/2022","Boston College","ACC","St. John's (NY) 2022 National Invitational Volleyball Championship","W 3-0",3,44,12,76,0.421,38,4,7,23,55,6,4,16,1,12,60,1
"2022-2023","12/02/2022","Boston College","ACC","Buffalo 2022 National Invitational Volleyball Championship","W 3-0",3,46,12,93,0.366,46,7,8,42,55,1,NA,14,NA,7,60,1
"2022-2023","12/07/2022","Boston College","ACC","Xavier 2022 National Invitational Volleyball Championship","W 3-2",5,74,21,180,0.294,69,6,5,81,96,5,3,8,3,7,87,NA
"2022-2023","12/10/2022","Boston College","ACC","Southern Miss. 2022 National Invitational Volleyball Championship","W 3-1",4,59,26,158,0.209,53,5,4,75,82,3,NA,16,NA,8,72,NA
"2022-2023","12/14/2022","Boston College","ACC","@ Drake 2022 National Invitational Volleyball Championship","W 3-1",4,68,22,178,0.258,67,2,6,84,90,2,NA,24,1,12,82,NA
"2022-2023","08/26/2022","Clemson","ACC","Austin Peay","W 3-1",4,66,27,183,0.213,64,4,14,72,83,2,3,12,NA,9,79,NA
"2022-2023","08/27/2022","Clemson","ACC","Louisiana Tech","W 3-0",3,39,17,100,0.22,37,9,8,48,47,1,2,6,2,5,53,NA
"2022-2023","08/27/2022","Clemson","ACC","Presbyterian","W 3-0",3,48,14,104,0.327,46,5,5,43,52,3,4,2,1,5,58,NA
"2022-2023","09/02/2022","Clemson","ACC","Jacksonville St.","L 2-3",5,49,23,149,0.174,46,8,10,59,97,13,3,18,NA,12,69,NA
"2022-2023","09/03/2022","Clemson","ACC","The Citadel","L 2-3",5,56,24,176,0.182,54,4,10,86,97,9,6,8,1,10,70,1
"2022-2023","09/03/2022","Clemson","ACC","Gardner-Webb","W 3-0",3,39,14,90,0.278,33,10,3,43,45,3,NA,6,1,3,52,NA
"2022-2023","09/06/2022","Clemson","ACC","South Carolina","W 3-2",5,59,25,166,0.205,56,5,8,86,93,6,3,24,1,15,79,1
"2022-2023","09/09/2022","Clemson","ACC","USC Upstate @Johnson City, TN","W 3-0",3,44,15,92,0.315,43,9,6,44,47,1,3,6,NA,6,59,NA
"2022-2023","09/09/2022","Clemson","ACC","@ ETSU","L 2-3",5,61,33,154,0.182,59,7,10,64,87,4,2,6,2,5,73,NA
"2022-2023","09/10/2022","Clemson","ACC","Georgia St. @Johnson City, TN","W 3-1",4,54,31,144,0.16,50,9,7,71,67,4,4,8,1,8,71,NA
"2022-2023","09/16/2022","Clemson","ACC","@ Samford","W 3-1",4,53,21,146,0.219,42,10,4,51,73,8,2,6,2,5,68,NA
"2022-2023","09/17/2022","Clemson","ACC","Murray St. @Homewood, AL","W 3-2",5,65,18,143,0.329,60,7,8,45,82,6,1,10,2,6,78,1
"2022-2023","09/23/2022","Clemson","ACC","Virginia Tech","L 2-3",5,70,25,184,0.245,64,6,12,78,104,7,NA,12,NA,6,82,NA
"2022-2023","09/25/2022","Clemson","ACC","Wake Forest","L 0-3",3,48,24,126,0.19,45,5,8,46,76,3,2,8,NA,6,59,1
"2022-2023","09/30/2022","Clemson","ACC","@ Louisville","L 0-3",3,37,17,105,0.19,36,2,6,36,67,3,2,2,1,3,42,NA
"2022-2023","10/02/2022","Clemson","ACC","@ Notre Dame","W 3-2",5,58,34,190,0.126,52,7,5,85,93,8,4,8,NA,8,73,NA
"2022-2023","10/07/2022","Clemson","ACC","Pittsburgh","L 0-3",3,27,16,102,0.108,25,1,7,33,67,2,2,6,1,5,33,2
"2022-2023","10/09/2022","Clemson","ACC","Virginia","W 3-1",4,59,18,139,0.295,52,8,9,60,76,7,3,10,1,8,75,NA
"2022-2023","10/12/2022","Clemson","ACC","@ Georgia Tech","L 0-3",3,31,15,96,0.167,30,4,7,38,70,4,NA,6,1,3,38,NA
"2022-2023","10/16/2022","Clemson","ACC","@ Duke","L 2-3",5,58,21,169,0.219,56,8,17,77,95,9,2,12,NA,8,74,NA
"2022-2023","10/21/2022","Clemson","ACC","Syracuse","L 0-3",3,35,18,90,0.189,32,4,8,32,66,8,NA,8,2,4,43,NA
"2022-2023","10/23/2022","Clemson","ACC","Boston College","W 3-1",4,61,20,134,0.306,59,8,8,51,86,9,5,10,3,10,79,1
"2022-2023","10/28/2022","Clemson","ACC","@ NC State","L 0-3",3,31,21,121,0.083,29,7,5,47,72,4,2,4,NA,4,42,NA
"2022-2023","10/30/2022","Clemson","ACC","@ North Carolina","L 1-3",4,51,25,156,0.167,49,3,5,55,93,7,4,8,1,8,62,NA
"2022-2023","11/04/2022","Clemson","ACC","@ Florida St.","L 1-3",4,61,22,153,0.255,56,14,9,52,96,9,3,2,NA,4,79,1
"2022-2023","11/06/2022","Clemson","ACC","@ Miami (FL)","L 2-3",5,61,29,164,0.195,57,5,13,60,105,5,NA,22,3,11,77,NA
"2022-2023","11/11/2022","Clemson","ACC","Miami (FL)","L 1-3",4,54,26,163,0.172,48,2,9,73,93,8,4,8,1,8,64,NA
"2022-2023","11/13/2022","Clemson","ACC","NC State","W 3-1",4,53,28,144,0.174,52,5,6,56,81,5,2,16,NA,10,68,NA
"2022-2023","11/18/2022","Clemson","ACC","Georgia Tech","L 0-3",3,31,15,103,0.155,27,3,8,30,71,6,NA,4,1,2,36,1
"2022-2023","11/25/2022","Clemson","ACC","@ Wake Forest","L 1-3",4,65,22,160,0.269,62,2,15,55,90,4,NA,10,2,5,72,2
"2022-2023","12/03/2022","Clemson","ACC","Toledo @Lynchburg, VA (2022 National Invitational Volleyball Championship)","L 1-3",4,51,22,142,0.204,46,5,8,53,88,6,1,10,2,6,62,NA
"2022-2023","08/26/2022","Duke","ACC","Washington St. @Provo, UT","L 1-3",4,54,28,143,0.182,52,7,11,39,95,3,1,12,1,7,68,4
"2022-2023","08/26/2022","Duke","ACC","@ BYU","L 1-3",4,41,26,146,0.103,37,6,14,53,86,5,4,10,NA,9,56,2
"2022-2023","08/27/2022","Duke","ACC","Rider @Provo, UT","W 3-1",4,56,14,126,0.333,56,9,NA,51,51,7,NA,16,2,8,73,1
"2022-2023","09/02/2022","Duke","ACC","ETSU","W 3-1",4,53,23,124,0.242,51,12,12,51,70,5,2,14,NA,9,74,1
"2022-2023","09/03/2022","Duke","ACC","Northeastern","W 3-1",4,56,21,129,0.271,54,12,12,54,77,5,NA,20,NA,10,78,NA
"2022-2023","09/03/2022","Duke","ACC","East Carolina","W 3-0",3,46,20,121,0.215,41,9,4,56,59,7,NA,12,1,6,61,NA
"2022-2023","09/06/2022","Duke","ACC","@ Elon","W 3-1",4,53,23,143,0.21,49,10,11,62,74,8,1,18,3,10,73,1
"2022-2023","09/09/2022","Duke","ACC","Michigan","W 3-1",4,61,23,141,0.27,58,8,12,48,81,6,3,10,NA,8,77,NA
"2022-2023","09/10/2022","Duke","ACC","Michigan St.","W 3-2",5,54,24,148,0.203,51,11,10,61,82,6,1,14,NA,8,73,NA
"2022-2023","09/15/2022","Duke","ACC","Winthrop","W 3-1",4,48,28,169,0.118,46,6,14,76,84,2,1,16,1,9,63,2
"2022-2023","09/17/2022","Duke","ACC","Harvard","W 3-0",3,39,10,89,0.326,37,9,14,33,49,3,NA,22,1,11,59,2
"2022-2023","09/23/2022","Duke","ACC","@ Syracuse","L 1-3",4,43,24,136,0.14,35,6,13,49,83,6,1,26,1,14,63,NA
"2022-2023","09/25/2022","Duke","ACC","@ Boston College","L 2-3",5,52,26,160,0.163,52,7,10,58,100,7,4,18,3,13,72,1
"2022-2023","09/30/2022","Duke","ACC","Pittsburgh","L 0-3",3,28,23,94,0.053,26,1,5,26,72,6,NA,16,NA,8,37,NA
"2022-2023","10/02/2022","Duke","ACC","Virginia","W 3-1",4,57,21,129,0.279,55,5,11,54,72,3,NA,16,2,8,70,1
"2022-2023","10/07/2022","Duke","ACC","@ Florida St.","L 0-3",3,36,27,108,0.083,31,5,7,40,68,5,2,8,2,6,47,1
"2022-2023","10/09/2022","Duke","ACC","@ Miami (FL)","L 0-3",3,32,14,91,0.198,30,NA,9,25,70,3,NA,10,2,5,37,NA
"2022-2023","10/14/2022","Duke","ACC","Georgia Tech","L 1-3",4,50,32,147,0.122,50,2,10,61,92,5,1,4,2,3,55,1
"2022-2023","10/16/2022","Duke","ACC","Clemson","W 3-2",5,59,24,172,0.203,59,9,10,79,86,8,1,26,1,14,82,1
"2022-2023","10/19/2022","Duke","ACC","NC State","W 3-1",4,61,24,160,0.231,58,6,11,67,79,5,1,16,NA,9,76,1
"2022-2023","10/23/2022","Duke","ACC","North Carolina","L 1-3",4,50,27,135,0.17,49,6,11,51,82,4,2,16,NA,10,66,NA
