"Season","Date","Team","Conference","Opponent","Result","S","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RetAtt","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2024-2025","08/30/2024","Boston College","ACC","Texas Tech","W 3-0",3,41,16,114,0.219,37,5,3,50,55,6,1,26,1,60,NA
"2024-2025","08/31/2024","Boston College","ACC","Eastern Ky.","W 3-1",4,60,22,140,0.271,55,8,5,58,71,6,1,28,2,83,NA
"2024-2025","08/31/2024","Boston College","ACC","Iona","W 3-0",3,42,7,91,0.385,37,6,7,46,48,3,1,20,NA,59,NA
"2024-2025","09/06/2024","Boston College","ACC","@ Fairfield","W 3-0",3,48,10,120,0.317,48,6,8,49,64,2,4,14,4,65,NA
"2024-2025","09/07/2024","Boston College","ACC","Central Conn. St. @Fairfield, CT","W 3-0",3,38,11,86,0.314,36,10,3,46,42,3,1,10,4,54,NA
"2024-2025","09/07/2024","Boston College","ACC","Binghamton @Fairfield, CT","L 2-3",5,62,30,163,0.196,59,4,12,73,97,7,3,20,2,79,NA
"2024-2025","09/13/2024","Boston College","ACC","Jacksonville @Athens, GA","W 3-1",4,53,17,129,0.279,52,7,14,56,79,7,6,22,NA,77,NA
"2024-2025","09/13/2024","Boston College","ACC","@ Georgia","L 1-3",4,41,28,135,0.096,38,2,7,56,91,8,4,12,1,53,NA
"2024-2025","09/14/2024","Boston College","ACC","Utah Valley @Athens, GA","L 0-3",3,37,16,96,0.219,36,3,1,36,66,7,1,10,4,46,NA
"2024-2025","09/19/2024","Boston College","ACC","North Florida @Chestnut Hill, MA","W 3-1",4,46,18,124,0.226,41,12,10,63,66,5,2,24,1,72,NA
"2024-2025","09/19/2024","Boston College","ACC","@ LSU","L 1-3",4,48,18,134,0.224,45,7,5,59,83,5,3,16,3,66,NA
"2024-2025","09/20/2024","Boston College","ACC","San Diego @Baton Rouge, LA","L 0-3",3,41,19,122,0.18,40,4,6,42,71,3,2,10,2,52,NA
"2024-2025","09/27/2024","Boston College","ACC","@ Duke","L 2-3",5,60,26,166,0.205,55,4,15,81,100,9,2,22,2,77,NA
"2024-2025","09/29/2024","Boston College","ACC","@ North Carolina","L 1-3",4,44,25,138,0.138,43,2,5,50,86,9,2,24,3,60,NA
"2024-2025","10/04/2024","Boston College","ACC","Pittsburgh","L 1-3",4,26,27,105,-0.01,26,1,4,30,93,NA,2,28,NA,43,NA
"2024-2025","10/06/2024","Boston College","ACC","SMU","L 2-3",5,54,18,131,0.275,51,6,10,51,88,11,4,16,3,72,NA
"2024-2025","10/11/2024","Boston College","ACC","@ California","W 3-2",5,59,27,184,0.174,56,6,13,81,97,6,4,26,3,82,NA
"2024-2025","10/12/2024","Boston College","ACC","@ Stanford","L 0-3",3,27,19,102,0.078,25,1,8,32,65,6,2,8,2,34,NA
"2024-2025","10/18/2024","Boston College","ACC","Florida St.","L 2-3",5,59,27,185,0.173,55,8,5,96,92,6,1,20,2,78,NA
"2024-2025","10/20/2024","Boston College","ACC","Miami (FL)","L 0-3",3,29,13,92,0.174,29,NA,7,33,70,10,5,6,2,37,NA
"2024-2025","10/25/2024","Boston College","ACC","Virginia Tech","W 3-0",3,42,11,87,0.356,39,4,11,40,59,6,4,10,1,55,NA
"2024-2025","10/27/2024","Boston College","ACC","Virginia","L 2-3",5,49,19,142,0.211,45,5,6,47,99,12,2,16,2,64,2
"2024-2025","11/01/2024","Boston College","ACC","@ Wake Forest","W 3-0",3,34,14,86,0.233,33,8,10,39,45,NA,3,8,NA,49,NA
"2024-2025","11/03/2024","Boston College","ACC","@ NC State","W 3-0",3,41,20,112,0.188,38,4,15,50,60,4,1,24,NA,58,1
